基金碼,年月日,基金統編,幣別,淨值(元)
T0117A 兆豐國際新高債 A,2019/04/26,31923107A,NTD,10.5891
T0117B 兆豐國際新高債 B,2019/04/26,31923107B,NTD,8.1661
T0124A 兆豐三年期新債A$,2019/04/26,42541416A,USD,10.2451
T0124B 兆豐三年期新債B$,2019/04/26,42541416B,USD,9.7648
T0124C 兆豐三年期新債AC,2019/04/26,42541416C,RMB,10.4475
T0124D 兆豐三年期新債BC,2019/04/26,42541416D,RMB,9.7521
T0125A 兆豐3Y新興亞債A$,2019/04/26,72938272A,USD,10.1458
T0125B 兆豐3Y新興亞債B$,2019/04/26,72938272B,USD,9.7469
T0125C 兆豐3Y新興亞債AC,2019/04/26,72938272C,RMB,10.2556
T0125D 兆豐3Y新興亞債BC,2019/04/26,72938272D,RMB,9.6877
T0332A 第一金全球高收 A,2019/04/26,25593418A,NTD,14.9803
T0332B 第一金全球高收 B,2019/04/26,25593418B,NTD,8.6023
T0332C 第一金全球高收A$,2019/04/26,25593418C,USD,10.2053
T0332D 第一金全球高收B$,2019/04/26,25593418D,USD,7.8131
T0332E 第一金全球高收AC,2019/04/26,25593418E,RMB,11.4515
T0332F 第一金全球高收BC,2019/04/26,25593418F,RMB,9.3727
T0332H 第一金全高收BN,2019/04/26,25593418H,NTD,8.6029
T0332K 第一金全高收BN$,2019/04/26,25593418J,USD,7.8081
T0332L 第一金全高收ANC,2019/04/26,25593418K,RMB,11.4525
T0332M 第一金全高收BNC,2019/04/26,25593418L,RMB,9.3717
T0345A 第一金中高債Aa,2019/04/26,42334486A,NTD,9.7814
T0345B 第一金中高債Bb,2019/04/26,42334486B,NTD,8.4097
T0345C 第一金中高債AaC,2019/04/26,42334486C,RMB,11.1012
T0345D 第一金中高債BbC,2019/04/26,42334486D,RMB,9.6961
T0440A 匯豐資源豐富國-A,2019/04/26,25695077A,NTD,9.2096
T0440B 匯豐資源豐富國-B,2019/04/26,25695077B,NTD,5.429
T0443A 匯豐亞洲高收債A,2019/04/26,26286281A,NTD,11.8334
T0443B 匯豐亞洲高收債B,2019/04/26,26286281B,NTD,7.9852
T0443C 匯豐亞洲高收債AC,2019/04/26,26286281C,RMB,2.6126
T0443D 匯豐亞洲高收債BC,2019/04/26,26286281D,RMB,2.3093
T0443E 匯豐亞洲高收債A$,2019/04/26,26286281E,USD,0.3884
T0443F 匯豐亞洲高收債B$,2019/04/26,26286281F,USD,0.3365
T0449A 匯豐中高收A-CNY,2019/04/26,26396604B,RMB,2.5921
T0449B 匯豐中高收B-CNY,2019/04/26,26396604C,RMB,2.0336
T0449C 匯豐中高收B,2019/04/26,26396604D,NTD,9.6317
T0449D 匯豐中高收A$,2019/04/26,26396604E,USD,0.3839
T0449E 匯豐中高收B$,2019/04/26,26396604F,USD,0.3066
T0449Y 匯豐中高收A,2019/04/26,26396604A,NTD,12.2673
T0594A 元大中國機會債券,2019/04/26,38546950A,NTD,10.1597
T0594B 元大中國機債 A C,2019/04/26,38546950B,RMB,10.7974
T0594C 元大中國機債 B C,2019/04/26,38546950C,RMB,9.8719
