"期間","一個月期存款牌告利率"
"2016M05","0.67"
"2016M06","0.67"
"2016M07","0.60"
"2016M08","0.60"
"2016M09","0.60"
"2016M10","0.60"
"2016M11","0.60"
"2016M12","0.60"
"2017M01","0.60"
"2017M02","0.60"
"2017M03","0.60"
"2017M04","0.60"
"2017M05","0.60"
"2017M06","0.60"
"2017M07","0.60"
"2017M08","0.60"
"2017M09","0.60"
"2017M10","0.60"
"2017M11","0.60"
"2017M12","0.60"
"2018M01","0.60"
"2018M02","0.60"
"2018M03","0.60"
"2018M04","0.60"
"2018M05","0.60"
"2018M06","0.60"
"2018M07","0.60"
"2018M08","0.60"
"2018M09","0.60"
"2018M10","0.60"
"2018M11","0.60"
"2018M12","0.60"
"2019M01","0.60"
"2019M02","0.60"
"2019M03","0.60"
