Current,,,,,,,,,,,,,
,,,,,,,,,,,,,
基金碼,基金ISIN Code,基金統編,基金全稱,幣別,經理公司,目前狀態,成立日,清算/合併日,型態,類型,公會分類,投資標的,清算/合併說明
0002 第一金福元,TW000T0302Y7,00968521,第一金福元證券投資信託基金,NTD,第一金證券投資信託,Current,1988/03/07,2014/06/25,"國內募集,投資國內",開放,開放式一般型,股票,被併入 T0314Y  第一金電子
0003 匯豐成長,TW0000003003,01050013,匯豐成長證券投資信託基金,NTD,匯豐中華證券投資信託,Current,1988/04/12,2011/11/25,"國內募集,投資國內",開放,開放式一般型,股票,被併入 T0415Y  匯豐台灣精典
0006 荷銀鴻福,TW0000006006,00972476,荷銀鴻福證券投資信託基金,NTD,荷銀證券投資信託,Current,1990/10/04,2000/12/04,"國內募集,投資國內",開放,開放式一般型,股票,清算
0007 匯豐成龍,TW0000007004,01013067,匯豐成龍證券投資信託基金,NTD,匯豐中華證券投資信託,Current,1991/12/06,2008/01/21,"國內募集,投資國內",開放,類貨幣市場,債券,被併入 T0413Y  匯豐富泰二號貨幣市場基金
0009 建弘廣福,TW0000009000,01013088,建弘廣福證券投資信託基金,NTD,第一金證券投資信託,Current,1991/12/13,2006/08/23,"國內募集,投資國內",開放,平衡--一般股票型,股票+債券,清算
0010 兆豐國際萬寶,TW0000010008,01013101,兆豐國際萬寶證券投資信託基金,NTD,兆豐國際證券投資信託,Current,1992/01/14,2008/01/18,"國內募集,投資國內",開放,類貨幣市場,債券,被併入 T0101Y  兆豐國際寶鑽貨幣市場基金
0011 景順和信,TW0000011006,00974024,景順和信證券投資信託基金,NTD,景順證券投資信託,Current,1993/02/11,2005/11/18,"國內募集,投資國內",開放,開放式一般型,股票,被併入 T0601Y  景順潛力
0012 元大多元基金,TW000T0510Y5,77537509,元大多元證券投資信託基金,NTD,元大證券投資信託,Current,1993/02/06,2015/11/24,"國內募集,投資國內",開放,開放式一般型,股票,被併入 T0567Y  元大2001基金
0016 保誠先鋒,TW0000016005,76945871,保誠先鋒證券投資信託基金,NTD,瀚亞證券投資信託,Current,1993/03/01,2001/11/01,"國內募集,投資國內",開放,開放式一般型,股票,清算
0019 萬國鑽石,TW0000019009,00974087,萬國鑽石證券投資信託基金,NTD,瑞銀證券投資信託,Current,1993/03/06,1997/12/07,"國內募集,投資國內",開放,開放式一般型,股票,清算
0020 保德信元富基金,TW0000020007,00974050,保德信元富證券投資信託基金,NTD,保德信證券投資信託,Current,1993/03/10,2002/07/12,"國內募集,投資國內",開放,開放式一般型,股票,被併入 T0815Y  保德信台商全方位
0024 保誠元滿,TW0000024009,97983647,保誠元滿證券投資信託基金,NTD,瀚亞證券投資信託,Current,1996/09/11,2006/02/10,"國內募集,投資國內",開放,開放式一般型,股票,被併入 T0708Y  瀚亞菁華
0026 聯博概念,TW000T1801Y7,97982984,聯博概念型證券投資信託基金,NTD,聯博證券投資信託,Current,1996/08/27,2013/04/12,"國內募集,投資國內",開放,開放式一般型,股票,被併入 T1802Y  聯博大利
0027 元大中國,TW0000027002,97990289,元大中國證券投資信託基金,NTD,元大證券投資信託,Current,1996/10/04,2001/10/18,"國內募集,投資國內",開放,開放式一般型,股票,清算
