基金碼,年月日,基金統編,幣別,淨值(元)
T0105Y 兆豐國際萬全,2019/04/26,00971976,NTD,21.36
T0121A 兆豐大中華平衡,2019/04/26,42334401A,NTD,9.91
T0121B 兆豐大中華平衡 $,2019/04/26,42334401B,USD,10.64
T0121C 兆豐大中華平衡 C,2019/04/26,42334401C,RMB,11.1
T0320Y 第一金中概平衡,2019/04/26,99353151,NTD,26.51
T0343A 第一金全球多息 A,2019/04/26,38539992A,NTD,10.3076
T0343B 第一金全球多息 B,2019/04/26,38539992B,NTD,8.4911
T0405Y 匯豐安富,2019/04/26,00971080,NTD,25.9
T0458A 匯豐中多息平Aa,2019/04/26,38647535A,NTD,11.0024
T0458B 匯豐中多息平Bd,2019/04/26,38647535B,NTD,9.7457
T0458C 匯豐中多息平AaC,2019/04/26,38647535C,RMB,12.0698
T0458D 匯豐中多息平BdC,2019/04/26,38647535D,RMB,10.7254
T0458E 匯豐中多息平Aa$,2019/04/26,38647535E,USD,11.204
T0458F 匯豐中多息平Bd$,2019/04/26,38647535F,USD,9.9527
T0479A 匯亞exJP多息平 A,2019/04/26,42443317A,NTD,10.81
T0479B 匯亞exJP多息Bd,2019/04/26,42443317B,NTD,10.25
T0479C 匯亞exJP多息BdC,2019/04/26,42443317C,RMB,11.25
T0479D 匯亞exJP多息平A$,2019/04/26,42443317D,USD,11.54
T0479E 匯亞exJP多息Bd$,2019/04/26,42443317E,USD,10.93
T0479F 匯亞exJP多息BdA,2019/04/26,42443317F,AUD,10.81
T0591A 元大中平衡 CNY,2019/04/26,31830473B,RMB,3.1
T0591Y 元大中平衡 NTD,2019/04/26,31830473A,NTD,14.18
T05A2A 元大新東協平衡,2019/04/26,42403764A,NTD,9.25
T05A2B 元大新東協平衡 $,2019/04/26,42403764B,USD,9.474
T05A3A 元大大中華豐平,2019/04/26,42451239A,NTD,10.751
T05A3B 元大大中華豐平 C,2019/04/26,42451239B,RMB,10.928
T0717Y 瀚亞理財通,2019/04/26,18036769,NTD,26.87
T0747A 瀚亞亞太豐平衡 A,2019/04/26,38621330A,NTD,11.1448
T0747B 瀚亞亞太豐平衡 B,2019/04/26,38621330B,NTD,8.9709
T0747C 瀚亞亞太豐平衡A$,2019/04/26,38621330C,USD,11.3968
T0747D 瀚亞亞太豐平衡B$,2019/04/26,38621330D,USD,9.1849
T0747E 瀚亞亞太豐平衡AA,2019/04/26,38621330E,AUD,12.7073
T0747F 瀚亞亞太豐平衡BA,2019/04/26,38621330F,AUD,9.5054
T0747G 瀚亞亞太豐平衡AZ,2019/04/26,38621330G,ZAR,14.4778
T0747H 瀚亞亞太豐平衡BZ,2019/04/26,38621330H,ZAR,10.128
T0747J 瀚亞亞太豐平衡AC,2019/04/26,38621330I,RMB,12.2795
T0747K 瀚亞亞太豐平衡BC,2019/04/26,38621330J,RMB,9.0898
T0754A 瀚亞印策收平衡A,2019/04/26,42481830A,NTD,9.69
T0754B 瀚亞印策收平衡B,2019/04/26,42481830B,NTD,8.72
T0754C 瀚亞印策收平衡B$,2019/04/26,42481830C,USD,8.54
T0754D 瀚亞印策收平衡BC,2019/04/26,42481830D,RMB,8.66
T0754E 瀚亞印策收平衡S,2019/04/26,42481830E,NTD,8.73
T0754F 瀚亞印策收平衡S$,2019/04/26,42481830F,USD,8.58
T0754G 瀚亞印策收平衡SC,2019/04/26,42481830G,RMB,8.61
T0814Y 保德信金平衡,2019/04/26,18044064,NTD,30.38
T0890A 保德信中國好平A,2019/04/26,42330171A,NTD,11
T0890B 保德信中國好平B,2019/04/26,42330171B,NTD,9.9883
T0890C 保德信中國好平B$,2019/04/26,42330171C,USD,9.9284
T0890D 保德信中國好平BC,2019/04/26,42330171D,RMB,9.8765
T1114Y 摩根平衡,2019/04/26,18036846,NTD,28.09
T1117Y 摩根全球平衡,2019/04/26,99181637,NTD,15.7748
T1120A 摩根亞高息平衡 A,2019/04/26,21704027A,NTD,14.2946
T1120B 摩根亞高息平衡 B,2019/04/26,21704027B,NTD,10.8431
T1148A 摩根新興雙利A,2019/04/26,42299565A,NTD,10.3069
T1148B 摩根新興雙利B,2019/04/26,42299565B,NTD,8.7454
T1148C 摩根新興雙利B$,2019/04/26,42299565C,USD,8.937
T1148D 摩根新興雙利BC,2019/04/26,42299565D,RMB,9.4454
T1150A 摩根中國雙息平A,2019/04/26,42319892A,NTD,13.4647
T1150B 摩根中國雙息平B,2019/04/26,42319892B,NTD,11.6769
T1150C 摩根中國雙息平AC,2019/04/26,42319892C,RMB,15.3469
T1150D 摩根中國雙息平BC,2019/04/26,42319892D,RMB,12.7853
T1150E 摩根中國雙息平B$,2019/04/26,42319892E,USD,9.9326
T1207Y 華南永昌龍盈平衡,2019/04/26,18477625,NTD,24.8238
T1239A 華南多重息平衡 A,2019/04/26,38618790A,NTD,13.2
T1239B 華南多重息平衡 B,2019/04/26,38618790B,NTD,10.65
T1239C 華南多重息平衡A$,2019/04/26,38618790C,USD,13.28
T1239D 華南多重息平衡B$,2019/04/26,38618790D,USD,10.65
T1433A 新光美豐收平衡A,2019/04/26,42384458A,NTD,10.47
T1433B 新光美豐收平衡B,2019/04/26,42384458B,NTD,9.56
T1433C 新光美豐收平衡A$,2019/04/26,42384458C,USD,11.03
T1433D 新光美豐收平衡B$,2019/04/26,42384458D,USD,10.09
T1437A 新光全平衡A,2019/04/26,42549326A,NTD,9.66
T1437B 新光全平衡B,2019/04/26,42549326B,NTD,9.45
T1437C 新光全平衡A$,2019/04/26,42549326C,USD,10.45
T1437D 新光全平衡AC,2019/04/26,42549326D,RMB,8.88
T1604Y 群益亞太新趨勢平,2019/04/26,48787295,NTD,16.74
T1616Y 群益真善美,2019/04/26,17147605,NTD,15.7957
T1617Y 群益平衡王,2019/04/26,18037845,NTD,19.8771
T1618Y 群益安家,2019/04/26,29243337,NTD,25.1334
T1656A 群益中國金采A,2019/04/26,42301416A,NTD,9.0812
T1656B 群益中國金采B,2019/04/26,42301416B,NTD,7.7898
T1656C 群益中國金采A$,2019/04/26,42301416C,USD,9.6616
T1656D 群益中國金采B$,2019/04/26,42301416D,USD,8.2868
T1656E 群益中國金采AC,2019/04/26,42301416E,RMB,10.2002
T1656F 群益中國金采BC,2019/04/26,42301416F,RMB,8.7495
T1659A 群益金選平衡A,2019/04/26,42440058A,NTD,10.3429
T1659B 群益金選平衡B,2019/04/26,42440058B,NTD,8.6409
T1659C 群益金選平衡A$,2019/04/26,42440058C,USD,10.9368
T1659D 群益金選平衡B$,2019/04/26,42440058D,USD,9.1392
T1659E 群益金選平衡AC,2019/04/26,42440058E,RMB,11.563
T1659F 群益金選平衡BC,2019/04/26,42440058F,RMB,9.6592
T2121A 柏瑞中國平衡A,2019/04/26,38651312A,NTD,10.8042
T2121B 柏瑞中國平衡B,2019/04/26,38651312B,NTD,9.3906
T2121C 柏瑞中國平衡A$,2019/04/26,38651312C,USD,11.0623
T2121D 柏瑞中國平衡B$,2019/04/26,38651312D,USD,9.6243
T2121E 柏瑞中國平衡AC,2019/04/26,38651312E,RMB,11.8746
T2121F 柏瑞中國平衡BC,2019/04/26,38651312F,RMB,9.7736
T2121G 柏瑞中國平衡N,2019/04/26,38651312G,NTD,10.7771
T2121H 柏瑞中國平衡NC,2019/04/26,38651312H,RMB,11.3103
T2121L 柏瑞中國平衡N$,2019/04/26,38651312K,USD,11.275
T2206Y 復華傳家,2019/04/26,17138818,NTD,21.9548
T2209Y 復華傳家二號,2019/04/26,18035945,NTD,29.9785
T2212Y 復華人生目標,2019/04/26,15742001,NTD,38.5992
T2213A 復華全球平衡 USD,2019/04/26,99034755B,USD,9.15
T2213Y 復華全球平衡,2019/04/26,99034755A,NTD,19.52
T2214Y 復華神盾,2019/04/26,99607599,NTD,25.6058
T2217Y 復華亞太平衡,2019/04/26,48733658,NTD,11.48
T2291A 復華中新經濟平衡,2019/04/26,42303499A,NTD,10.39
T2291B 復華中新經濟平AC,2019/04/26,42303499B,RMB,11.73
T2291C 復華中新經濟平BC,2019/04/26,42303499C,RMB,10.59
T2507Y 永豐趨勢平衡,2019/04/26,14706582,NTD,42.61
T2624A 中信入息平衡A,2019/04/26,38530388A,NTD,10.923
T2624B 中信入息平衡B,2019/04/26,38530388B,NTD,9.3227
T2630A 中信亞太多元息A,2019/04/26,42329152A,NTD,11.2575
T2630B 中信亞太多元息B,2019/04/26,42329152B,NTD,9.8976
T2639A 中信樂齡收益平A,2019/04/26,42443702A,NTD,10.93
T2639B 中信樂齡收益平B,2019/04/26,42443702B,NTD,10.43
T2639C 中信樂齡收益平A$,2019/04/26,42443702C,USD,11.06
T2639D 中信樂齡收益平B$,2019/04/26,42443702D,USD,10.61
T3204Y 野村平衡,2019/04/26,17602250,NTD,19.59
T3221Y 野村鴻利,2019/04/26,00971103,NTD,23.58
T3295A 野村多元收益平A,2019/04/26,42391084A,NTD,10.1633
T3295B 野村多元收益平B,2019/04/26,42391084B,NTD,8.2806
T3295C 野村多元收益平A$,2019/04/26,42391084C,USD,10.6083
T3295D 野村多元收益平B$,2019/04/26,42391084D,USD,8.717
T3295E 野村多元收益平AC,2019/04/26,42391084E,RMB,11.1684
