基金碼,年月日,基金統編,公會基金類型,幣別,淨值(元),淨值變動率%-週
T0105Y 兆豐國際萬全,2019/04/26,00971976,平衡--一般股票型,TWD,21.36,-0.41958
T0121A 兆豐大中華平衡,2019/04/26,42334401A,跨國平衡-亞洲,TWD,9.91,-3.033269
T0121B 兆豐大中華平衡 $,2019/04/26,42334401B,跨國平衡-亞洲,USD,10.64,-3.184713
T0121C 兆豐大中華平衡 C,2019/04/26,42334401C,跨國平衡-亞洲,CNY,11.1,-2.802101
T0320Y 第一金中概平衡,2019/04/26,99353151,平衡--一般股票型,TWD,26.51,-1.192694
T0343A 第一金全球多息 A,2019/04/26,38539992A,跨國平衡-全球型,TWD,10.3076,0.277261
T0343B 第一金全球多息 B,2019/04/26,38539992B,跨國平衡-全球型,TWD,8.4911,0.276344
T0405Y 匯豐安富,2019/04/26,00971080,平衡--一般股票型,TWD,25.9,0.115964
T0458A 匯豐中多息平Aa,2019/04/26,38647535A,跨國平衡-中國,TWD,11.0024,-2.099944
T0458B 匯豐中多息平Bd,2019/04/26,38647535B,跨國平衡-中國,TWD,9.7457,-2.100493
T0458C 匯豐中多息平AaC,2019/04/26,38647535C,跨國平衡-中國,CNY,12.0698,-1.75093
T0458D 匯豐中多息平BdC,2019/04/26,38647535D,跨國平衡-中國,CNY,10.7254,-1.668593
T0458E 匯豐中多息平Aa$,2019/04/26,38647535E,跨國平衡-中國,USD,11.204,-2.305465
T0458F 匯豐中多息平Bd$,2019/04/26,38647535F,跨國平衡-中國,USD,9.9527,-2.351753
T0479A 匯亞exJP多息平 A,2019/04/26,42443317A,跨國平衡-亞洲,TWD,10.81,0.185357
T0479B 匯亞exJP多息Bd,2019/04/26,42443317B,跨國平衡-亞洲,TWD,10.25,0.195504
T0479C 匯亞exJP多息BdC,2019/04/26,42443317C,跨國平衡-亞洲,CNY,11.25,-0.08881
T0479D 匯亞exJP多息平A$,2019/04/26,42443317D,跨國平衡-亞洲,USD,11.54,0.086731
T0479E 匯亞exJP多息Bd$,2019/04/26,42443317E,跨國平衡-亞洲,USD,10.93,0.091575
T0479F 匯亞exJP多息BdA,2019/04/26,42443317F,跨國平衡-亞洲,AUD,10.81,-0.460404
T0591A 元大中平衡 CNY,2019/04/26,31830473B,跨國平衡-中國,CNY,3.1,-1.898733
T0591Y 元大中平衡 NTD,2019/04/26,31830473A,跨國平衡-中國,TWD,14.18,-2.004147
T05A2A 元大新東協平衡,2019/04/26,42403764A,跨國平衡-亞洲,TWD,9.25,-0.215751
T05A2B 元大新東協平衡 $,2019/04/26,42403764B,跨國平衡-亞洲,USD,9.474,-0.336629
T05A3A 元大大中華豐平,2019/04/26,42451239A,跨國平衡-亞洲,TWD,10.751,-3.931731
T05A3B 元大大中華豐平 C,2019/04/26,42451239B,跨國平衡-亞洲,CNY,10.928,-3.590648
T0717Y 瀚亞理財通,2019/04/26,18036769,平衡--一般股票型,TWD,26.87,-0.111524
T0747A 瀚亞亞太豐平衡 A,2019/04/26,38621330A,跨國平衡-亞洲,TWD,11.1448,-0.562995
T0747B 瀚亞亞太豐平衡 B,2019/04/26,38621330B,跨國平衡-亞洲,TWD,8.9709,-0.563087
T0747C 瀚亞亞太豐平衡A$,2019/04/26,38621330C,跨國平衡-亞洲,USD,11.3968,-0.68754
T0747D 瀚亞亞太豐平衡B$,2019/04/26,38621330D,跨國平衡-亞洲,USD,9.1849,-0.687679
T0747E 瀚亞亞太豐平衡AA,2019/04/26,38621330E,跨國平衡-亞洲,AUD,12.7073,0.602476
T0747F 瀚亞亞太豐平衡BA,2019/04/26,38621330F,跨國平衡-亞洲,AUD,9.5054,0.636295
T0747G 瀚亞亞太豐平衡AZ,2019/04/26,38621330G,跨國平衡-亞洲,ZAR,14.4778,0.298587
T0747H 瀚亞亞太豐平衡BZ,2019/04/26,38621330H,跨國平衡-亞洲,ZAR,10.128,0.033581
T0747J 瀚亞亞太豐平衡AC,2019/04/26,38621330I,跨國平衡-亞洲,CNY,12.2795,-0.411994
T0747K 瀚亞亞太豐平衡BC,2019/04/26,38621330J,跨國平衡-亞洲,CNY,9.0898,-0.421765
T0754A 瀚亞印策收平衡A,2019/04/26,42481830A,跨國平衡-單一國,TWD,9.69,-1.021451
T0754B 瀚亞印策收平衡B,2019/04/26,42481830B,跨國平衡-單一國,TWD,8.72,-1.021567
T0754C 瀚亞印策收平衡B$,2019/04/26,42481830C,跨國平衡-單一國,USD,8.54,-1.157406
T0754D 瀚亞印策收平衡BC,2019/04/26,42481830D,跨國平衡-單一國,CNY,8.66,-0.688073
T0754E 瀚亞印策收平衡S,2019/04/26,42481830E,跨國平衡-單一國,TWD,8.73,-1.020407
T0754F 瀚亞印策收平衡S$,2019/04/26,42481830F,跨國平衡-單一國,USD,8.58,-1.152074
T0754G 瀚亞印策收平衡SC,2019/04/26,42481830G,跨國平衡-單一國,CNY,8.61,-0.692042
T0814Y 保德信金平衡,2019/04/26,18044064,平衡--價值股票型,TWD,30.38,0.098847
T0890A 保德信中國好平A,2019/04/26,42330171A,跨國平衡-中國,TWD,11,-1.689159
T0890B 保德信中國好平B,2019/04/26,42330171B,跨國平衡-中國,TWD,9.9883,-1.688993
T0890C 保德信中國好平B$,2019/04/26,42330171C,跨國平衡-中國,USD,9.9284,-1.641553
T0890D 保德信中國好平BC,2019/04/26,42330171D,跨國平衡-中國,CNY,9.8765,-1.689196
T1114Y 摩根平衡,2019/04/26,18036846,平衡--價值股票型,TWD,28.09,0.35727
T1117Y 摩根全球平衡,2019/04/26,99181637,跨國平衡-全球型,TWD,15.7748,-0.35563
T1120A 摩根亞高息平衡 A,2019/04/26,21704027A,跨國平衡-亞洲,TWD,14.2946,-0.546159
T1120B 摩根亞高息平衡 B,2019/04/26,21704027B,跨國平衡-亞洲,TWD,10.8431,-0.546653
T1148A 摩根新興雙利A,2019/04/26,42299565A,跨國平衡-新興市,TWD,10.3069,-1.024621
T1148B 摩根新興雙利B,2019/04/26,42299565B,跨國平衡-新興市,TWD,8.7454,-1.024231
T1148C 摩根新興雙利B$,2019/04/26,42299565C,跨國平衡-新興市,USD,8.937,-1.186384
T1148D 摩根新興雙利BC,2019/04/26,42299565D,跨國平衡-新興市,CNY,9.4454,-1.104607
T1150A 摩根中國雙息平A,2019/04/26,42319892A,跨國平衡-中國,TWD,13.4647,-2.770015
T1150B 摩根中國雙息平B,2019/04/26,42319892B,跨國平衡-中國,TWD,11.6769,-2.769474
T1150C 摩根中國雙息平AC,2019/04/26,42319892C,跨國平衡-中國,CNY,15.3469,-2.591525
T1150D 摩根中國雙息平BC,2019/04/26,42319892D,跨國平衡-中國,CNY,12.7853,-2.591901
T1150E 摩根中國雙息平B$,2019/04/26,42319892E,跨國平衡-中國,USD,9.9326,-2.90144
T1207Y 華南永昌龍盈平衡,2019/04/26,18477625,平衡--價值股票型,TWD,24.8238,-1.097246
T1239A 華南多重息平衡 A,2019/04/26,38618790A,跨國平衡-全球型,TWD,13.2,0.456621
T1239B 華南多重息平衡 B,2019/04/26,38618790B,跨國平衡-全球型,TWD,10.65,0.566573
T1239C 華南多重息平衡A$,2019/04/26,38618790C,跨國平衡-全球型,USD,13.28,0.302115
T1239D 華南多重息平衡B$,2019/04/26,38618790D,跨國平衡-全球型,USD,10.65,0.282486
T1433A 新光美豐收平衡A,2019/04/26,42384458A,跨國平衡-全球型,TWD,10.47,0.867051
T1433B 新光美豐收平衡B,2019/04/26,42384458B,跨國平衡-全球型,TWD,9.56,0.95037
T1433C 新光美豐收平衡A$,2019/04/26,42384458C,跨國平衡-全球型,USD,11.03,0.638686
T1433D 新光美豐收平衡B$,2019/04/26,42384458D,跨國平衡-全球型,USD,10.09,0.598206
T1437A 新光全平衡A,2019/04/26,42549326A,跨國平衡-全球型,TWD,9.66,0.520292
T1437B 新光全平衡B,2019/04/26,42549326B,跨國平衡-全球型,TWD,9.45,-0.105708
T1437C 新光全平衡A$,2019/04/26,42549326C,跨國平衡-全球型,USD,10.45,1.554908
T1437D 新光全平衡AC,2019/04/26,42549326D,跨國平衡-全球型,CNY,8.88,2.068966
T1604Y 群益亞太新趨勢平,2019/04/26,48787295,跨國平衡-亞洲,TWD,16.74,-0.711744
T1616Y 群益真善美,2019/04/26,17147605,平衡--一般股票型,TWD,15.7957,-0.763325
T1617Y 群益平衡王,2019/04/26,18037845,平衡--價值股票型,TWD,19.8771,-0.987777
T1618Y 群益安家,2019/04/26,29243337,平衡--一般股票型,TWD,25.1334,-2.456688
T1656A 群益中國金采A,2019/04/26,42301416A,跨國平衡-中國,TWD,9.0812,-0.811534
T1656B 群益中國金采B,2019/04/26,42301416B,跨國平衡-中國,TWD,7.7898,-0.812366
T1656C 群益中國金采A$,2019/04/26,42301416C,跨國平衡-中國,USD,9.6616,-1.024423
T1656D 群益中國金采B$,2019/04/26,42301416D,跨國平衡-中國,USD,8.2868,-1.024771
T1656E 群益中國金采AC,2019/04/26,42301416E,跨國平衡-中國,CNY,10.2002,-0.357533
