基金碼,年月日,基金統編,幣別,淨值(元)
T0102Y 兆豐國際第一,2019/04/26,00965469,NTD,13.84
T0103Y 兆豐國際國民,2019/04/26,01050148,NTD,23.47
T0104Y 兆豐國際全球,2019/04/26,00992769,NTD,32.12
T0108Y 兆豐國際電子,2019/04/26,73991751,NTD,27.25
T0109Y 兆豐國際生命科學,2019/04/26,14699772,NTD,15.36
T0110Y 兆豐豐台灣,2019/04/26,10341837,NTD,35.52
T0119A 兆豐中國 A股,2019/04/26,38592074A,NTD,20.13
T0119B 兆豐中國 A股 $,2019/04/26,38592074B,USD,20.06
T0119C 兆豐中國 A股CNY,2019/04/26,38592074C,RMB,15.01
T0311Y 第一金店頭,2019/04/26,20092528,NTD,8.22
T0313Y 第一金小型,2019/04/26,73989002,NTD,32.74
T0314Y 第一金電子,2019/04/26,19341318,NTD,33.02
T0316Y 第一金亞洲科技,2019/04/26,17612378,NTD,18.57
T0318Y 第一金大中華,2019/04/26,15739619,NTD,26.01
T0331Y 第一金全球大趨勢,2019/04/26,10338642,NTD,24.79
T0334A 第一金中國世紀 C,2019/04/26,25620512B,RMB,13.18
T0334Y 第一金中國世紀,2019/04/26,25620512A,NTD,9.89
T0335Y 第一金亞洲新興市,2019/04/26,25652648,NTD,13.27
T0336Y 第一金創新,2019/04/26,26202396,NTD,22.05
T0346A 第一AI機器人Aa,2019/04/26,42399017A,NTD,13.54
T0346B 第一AI機器人Aa$,2019/04/26,42399017B,USD,14.3183
T0347A 第一AI FTech A,2019/04/26,42455621A,NTD,14.99
T0347B 第一AI FTech A$,2019/04/26,42455621B,USD,15.5744
T0349A 第一金水電 A,2019/04/26,42539761A,NTD,10.19
T0349B 第一金水電 B,2019/04/26,42539761B,NTD,9.49
T0349C 第一金水電 A $,2019/04/26,42539761C,USD,10.6417
T0349D 第一金水電 B $,2019/04/26,42539761D,USD,9.9131
T0349E 第一金水電 AN,2019/04/26,42539761E,NTD,10.19
T0349F 第一金水電 BN,2019/04/26,42539761F,NTD,9.49
T0349G 第一金水電 AN$,2019/04/26,42539761G,USD,10.6434
T0349H 第一金水電 BN$,2019/04/26,42539761H,USD,9.9147
