Date,Nav,Mid Bid/Ask,P/D to NAV,P/D Indicator
03/15/2019,29.5395,29.37,-0.58%,Discount
03/14/2019,29.4521,29.425,-0.09%,Discount
03/13/2019,29.4382,29.445,0.02%,Premium
03/12/2019,29.4754,29.43,-0.15%,Discount
03/11/2019,29.5428,29.5,-0.15%,Discount
03/08/2019,29.5663,29.54,-0.09%,Discount
03/07/2019,29.5277,29.485,-0.15%,Discount
03/06/2019,29.4718,29.45,-0.07%,Discount
03/05/2019,29.6158,29.6,-0.05%,Discount
03/04/2019,29.6334,29.605,-0.10%,Discount
03/01/2019,29.8358,29.84,0.01%,Premium
02/28/2019,29.6237,29.61,-0.05%,Discount
02/27/2019,29.701,29.685,-0.05%,Discount
02/26/2019,29.6695,29.665,-0.02%,Discount
02/25/2019,29.7693,29.73,-0.13%,Discount
02/22/2019,29.7836,29.755,-0.10%,Discount
02/21/2019,29.7506,29.745,-0.02%,Discount
02/20/2019,29.8748,29.85,-0.08%,Discount
02/19/2019,29.7746,29.77,-0.02%,Discount
02/15/2019,29.7875,29.755,-0.11%,Discount
02/14/2019,29.4596,29.465,0.02%,Premium
02/13/2019,29.4243,29.41,-0.05%,Discount
02/12/2019,29.2842,29.255,-0.10%,Discount
02/11/2019,28.981,28.975,-0.02%,Discount
02/08/2019,28.9473,28.87,-0.27%,Discount
02/07/2019,28.9595,28.895,-0.22%,Discount
02/06/2019,29.1746,29.13,-0.15%,Discount
02/05/2019,29.1836,29.18,-0.01%,Discount
02/04/2019,29.0129,29.0,-0.05%,Discount
02/01/2019,29.0055,28.985,-0.07%,Discount
01/31/2019,28.8662,28.81,-0.20%,Discount
01/30/2019,28.9197,28.905,-0.05%,Discount
01/29/2019,29.0398,29.02,-0.07%,Discount
01/28/2019,29.0075,28.99,-0.06%,Discount
01/25/2019,28.9502,28.945,-0.02%,Discount
01/24/2019,28.8669,28.86,-0.02%,Discount
01/23/2019,28.7541,28.755,0.00%,Premium
01/22/2019,28.7646,28.77,0.02%,Premium
01/18/2019,28.7646,28.735,-0.10%,Discount
01/17/2019,28.724,28.735,0.04%,Premium
01/16/2019,28.731,28.67,-0.21%,Discount
01/15/2019,28.7522,28.73,-0.08%,Discount
01/14/2019,28.8261,28.81,-0.06%,Discount
01/11/2019,28.8293,28.815,-0.05%,Discount
01/10/2019,28.7745,28.74,-0.12%,Discount
01/09/2019,28.857,28.83,-0.09%,Discount
01/08/2019,28.6812,28.655,-0.09%,Discount
01/07/2019,28.6545,28.635,-0.07%,Discount
01/04/2019,28.5573,28.56,0.01%,Premium
01/03/2019,28.5542,28.59,0.13%,Premium
01/02/2019,29.2282,29.205,-0.08%,Discount
12/31/2018,29.1128,29.025,-0.30%,Discount
12/28/2018,28.8865,28.83,-0.20%,Discount
12/27/2018,28.904,28.82,-0.29%,Discount
12/26/2018,28.7029,28.675,-0.10%,Discount
12/24/2018,27.3873,27.435,0.17%,Premium
12/21/2018,28.6099,28.645,0.12%,Premium
12/20/2018,29.2432,29.185,-0.20%,Discount
12/19/2018,29.7794,29.82,0.14%,Premium
12/18/2018,30.3452,30.38,0.12%,Premium
12/17/2018,30.3507,30.345,-0.02%,Discount
12/14/2018,30.9685,30.985,0.05%,Premium
12/13/2018,31.4782,31.5,0.07%,Premium
12/12/2018,31.7221,31.785,0.20%,Premium
12/11/2018,31.5153,31.545,0.09%,Premium
12/10/2018,31.5188,31.535,0.05%,Premium
12/07/2018,31.4888,31.545,0.18%,Premium
12/06/2018,32.2204,32.195,-0.08%,Discount
12/04/2018,32.2904,32.28,-0.03%,Discount
12/03/2018,33.4503,33.41,-0.12%,Discount
11/30/2018,33.1504,33.16,0.03%,Premium
11/29/2018,33.0287,33.025,-0.01%,Discount
11/28/2018,33.1295,33.1,-0.09%,Discount
11/27/2018,32.4656,32.465,0.00%,Discount
11/26/2018,32.429,32.43,0.00%,Premium
11/23/2018,31.9571,31.97,0.04%,Premium
11/21/2018,32.0233,32.045,0.07%,Premium
11/20/2018,31.7707,31.78,0.03%,Premium
11/19/2018,32.3213,32.295,-0.08%,Discount
11/16/2018,32.8791,32.86,-0.06%,Discount
11/15/2018,32.8827,32.835,-0.15%,Discount
11/14/2018,32.5647,32.56,-0.01%,Discount
11/13/2018,32.7049,32.735,0.09%,Premium
11/12/2018,32.6833,32.66,-0.07%,Discount
11/09/2018,33.4524,33.495,0.13%,Premium
11/08/2018,33.779,33.75,-0.09%,Discount
11/07/2018,33.8287,33.835,0.02%,Premium
11/06/2018,33.5262,33.545,0.06%,Premium
11/05/2018,33.2727,33.28,0.02%,Premium
11/02/2018,33.0897,33.095,0.02%,Premium
11/01/2018,33.1803,33.21,0.09%,Premium
10/31/2018,32.7731,32.8,0.08%,Premium
10/30/2018,32.6042,32.605,0.00%,Premium
10/29/2018,31.8773,31.875,-0.01%,Discount
10/26/2018,31.9659,31.945,-0.07%,Discount
10/25/2018,32.4513,32.43,-0.07%,Discount
10/24/2018,32.0309,32.055,0.08%,Premium
10/23/2018,33.2543,33.275,0.06%,Premium
10/22/2018,33.5543,33.58,0.08%,Premium
10/19/2018,33.6252,33.66,0.10%,Premium
10/18/2018,33.8864,33.885,0.00%,Discount
10/17/2018,34.2602,34.255,-0.02%,Discount
10/16/2018,34.3126,34.32,0.02%,Premium
10/15/2018,33.5157,33.56,0.13%,Premium
10/12/2018,33.5019,33.58,0.23%,Premium
10/11/2018,33.1443,33.19,0.14%,Premium
10/10/2018,33.7815,33.825,0.13%,Premium
10/09/2018,34.7832,34.81,0.08%,Premium
10/08/2018,34.882,34.945,0.18%,Premium
10/05/2018,34.8171,34.85,0.09%,Premium
10/04/2018,34.9952,35.0,0.01%,Premium
10/03/2018,35.2925,35.305,0.04%,Premium
10/02/2018,35.1998,35.225,0.07%,Premium
10/01/2018,35.2824,35.305,0.06%,Premium
09/28/2018,35.4139,35.435,0.06%,Premium
09/27/2018,35.3567,35.395,0.11%,Premium
09/26/2018,35.3074,35.325,0.05%,Premium
09/25/2018,35.5253,35.545,0.06%,Premium
09/24/2018,35.5946,35.62,0.07%,Premium
09/21/2018,35.7648,35.77,0.02%,Premium
09/20/2018,35.7747,35.79,0.04%,Premium
09/19/2018,35.5161,35.535,0.05%,Premium
09/18/2018,35.6464,35.695,0.14%,Premium
09/17/2018,35.5021,35.52,0.05%,Premium
09/14/2018,35.7203,35.745,0.07%,Premium
09/13/2018,35.6312,35.63,0.00%,Discount
09/12/2018,35.5107,35.54,0.08%,Premium
09/11/2018,35.4643,35.46,-0.01%,Discount
09/10/2018,35.4535,35.46,0.02%,Premium
09/07/2018,35.3957,35.41,0.04%,Premium
09/06/2018,35.4915,35.52,0.08%,Premium
09/05/2018,35.6725,35.67,-0.01%,Discount
09/04/2018,35.8082,35.795,-0.04%,Discount
08/31/2018,35.8109,35.81,0.00%,Discount
08/30/2018,35.7095,35.71,0.00%,Premium
08/29/2018,35.8428,35.88,0.10%,Premium
08/28/2018,35.7927,35.785,-0.02%,Discount
08/27/2018,35.7259,35.72,-0.02%,Discount
08/24/2018,35.6202,35.635,0.04%,Premium
08/23/2018,35.4251,35.44,0.04%,Premium
08/22/2018,35.4859,35.505,0.05%,Premium
08/21/2018,35.4628,35.465,0.01%,Premium
08/20/2018,35.2946,35.33,0.10%,Premium
08/17/2018,35.1207,35.14,0.06%,Premium
08/16/2018,34.9321,34.93,-0.01%,Discount
08/15/2018,34.6851,34.685,0.00%,Discount
08/14/2018,35.0301,35.005,-0.07%,Discount
08/13/2018,34.7602,34.765,0.01%,Premium
08/10/2018,34.8982,34.905,0.02%,Premium
08/09/2018,35.0462,35.03,-0.05%,Discount
08/08/2018,35.0304,35.09,0.17%,Premium
08/07/2018,35.0705,35.13,0.17%,Premium
08/06/2018,34.9696,34.935,-0.10%,Discount
08/03/2018,34.8084,34.805,-0.01%,Discount
08/02/2018,34.5677,34.59,0.06%,Premium
08/01/2018,34.2675,34.29,0.07%,Premium
07/31/2018,34.3803,34.4,0.06%,Premium
07/30/2018,34.115,34.165,0.15%,Premium
07/27/2018,34.2466,34.27,0.07%,Premium
07/26/2018,34.3827,34.39,0.02%,Premium
07/25/2018,34.2766,34.28,0.01%,Premium
07/24/2018,34.0416,34.055,0.04%,Premium
07/23/2018,34.1339,34.15,0.05%,Premium
