Date,Nav,Mid Bid/Ask,P/D to NAV,P/D Indicator
03/15/2019,38.8071,38.795,-0.03%,Discount
03/14/2019,38.8368,38.85,0.03%,Premium
03/13/2019,38.8635,38.89,0.07%,Premium
03/12/2019,38.8683,38.885,0.04%,Premium
03/11/2019,39.0084,39.015,0.02%,Premium
03/08/2019,38.9372,38.945,0.02%,Premium
03/07/2019,39.008,39.0,-0.02%,Discount
03/06/2019,38.8122,38.805,-0.02%,Discount
03/05/2019,38.7039,38.71,0.02%,Premium
03/04/2019,38.7991,38.79,-0.02%,Discount
03/01/2019,38.7273,38.67,-0.15%,Discount
02/28/2019,38.8363,38.82,-0.04%,Discount
02/27/2019,38.8272,38.815,-0.03%,Discount
02/26/2019,38.9074,38.92,0.03%,Premium
02/25/2019,38.8139,38.795,-0.05%,Discount
02/22/2019,38.7525,38.745,-0.02%,Discount
02/21/2019,38.766,38.765,0.00%,Discount
02/20/2019,38.8226,38.815,-0.02%,Discount
02/19/2019,38.8077,38.775,-0.08%,Discount
02/15/2019,38.7655,38.75,-0.04%,Discount
02/14/2019,38.7481,38.735,-0.03%,Discount
02/13/2019,38.6745,38.645,-0.08%,Discount
02/12/2019,38.6738,38.67,-0.01%,Discount
02/11/2019,38.6849,38.675,-0.03%,Discount
02/08/2019,38.5842,38.565,-0.05%,Discount
02/07/2019,38.4824,38.47,-0.03%,Discount
02/06/2019,38.3353,38.335,0.00%,Discount
02/05/2019,38.3336,38.355,0.06%,Premium
02/04/2019,38.3039,38.275,-0.08%,Discount
02/01/2019,38.33,38.32,-0.03%,Discount
01/31/2019,38.3224,38.335,0.03%,Premium
01/30/2019,38.3183,38.3,-0.05%,Discount
01/29/2019,38.4798,38.455,-0.07%,Discount
01/28/2019,38.4525,38.45,-0.01%,Discount
01/25/2019,38.3273,38.325,-0.01%,Discount
01/24/2019,38.6093,38.57,-0.10%,Discount
01/23/2019,38.536,38.52,-0.04%,Discount
01/22/2019,38.6146,38.58,-0.09%,Discount
01/18/2019,38.4451,38.415,-0.08%,Discount
01/17/2019,38.486,38.445,-0.11%,Discount
01/16/2019,38.5949,38.575,-0.05%,Discount
01/15/2019,38.6962,38.675,-0.06%,Discount
01/14/2019,38.5346,38.525,-0.03%,Discount
01/11/2019,38.4999,38.48,-0.05%,Discount
01/10/2019,38.5289,38.51,-0.05%,Discount
01/09/2019,38.3618,38.335,-0.07%,Discount
01/08/2019,38.5171,38.49,-0.07%,Discount
01/07/2019,38.511,38.515,0.01%,Premium
01/04/2019,38.5967,38.595,0.00%,Discount
01/03/2019,38.8407,38.805,-0.09%,Discount
01/02/2019,38.9132,38.91,-0.01%,Discount
12/31/2018,38.7927,38.755,-0.10%,Discount
12/28/2018,38.819,38.79,-0.08%,Discount
12/27/2018,38.8781,38.865,-0.03%,Discount
12/26/2018,38.8642,39.67,2.03%,Premium
12/24/2018,38.8668,38.86,-0.02%,Discount
12/21/2018,40.3822,40.38,-0.01%,Discount
12/20/2018,40.1371,40.1,-0.09%,Discount
12/19/2018,40.1531,40.215,0.15%,Premium
12/18/2018,40.1657,40.175,0.02%,Premium
12/17/2018,40.08,40.09,0.03%,Premium
12/14/2018,40.1347,40.135,0.00%,Premium
12/13/2018,39.9985,40.005,0.02%,Premium
12/12/2018,39.9864,40.0,0.03%,Premium
12/11/2018,40.0819,40.085,0.01%,Premium
12/10/2018,40.0278,40.045,0.04%,Premium
12/07/2018,39.8789,39.895,0.04%,Premium
12/06/2018,40.0286,40.02,-0.02%,Discount
12/04/2018,39.9417,39.93,-0.03%,Discount
12/03/2018,39.9726,40.01,0.09%,Premium
11/30/2018,40.176,40.16,-0.04%,Discount
11/29/2018,40.2929,40.27,-0.06%,Discount
11/28/2018,40.2663,40.29,0.06%,Premium
11/27/2018,40.3976,40.36,-0.09%,Discount
11/26/2018,40.3467,40.375,0.07%,Premium
11/23/2018,40.2994,40.42,0.30%,Premium
11/21/2018,40.403,40.43,0.07%,Premium
11/20/2018,40.5014,40.555,0.13%,Premium
11/19/2018,40.6789,40.62,-0.15%,Discount
11/16/2018,40.2875,40.365,0.19%,Premium
11/15/2018,40.2124,40.19,-0.06%,Discount
11/14/2018,40.9278,40.905,-0.06%,Discount
11/13/2018,40.4598,40.42,-0.10%,Discount
11/12/2018,40.2765,40.315,0.10%,Premium
11/09/2018,40.131,40.29,0.40%,Premium
11/08/2018,39.9445,39.95,0.01%,Premium
11/07/2018,39.8916,39.91,0.05%,Premium
11/06/2018,39.9468,39.93,-0.04%,Discount
11/05/2018,39.8852,39.89,0.01%,Premium
11/02/2018,39.7702,39.76,-0.03%,Discount
11/01/2018,39.8357,39.84,0.01%,Premium
10/31/2018,40.3774,40.4,0.06%,Premium
10/30/2018,40.3813,40.4,0.05%,Premium
10/29/2018,40.3626,40.33,-0.08%,Discount
10/26/2018,40.2562,40.265,0.02%,Premium
10/25/2018,40.2652,40.25,-0.04%,Discount
10/24/2018,40.2146,40.165,-0.12%,Discount
10/23/2018,40.1112,40.115,0.01%,Premium
10/22/2018,40.3896,40.445,0.14%,Premium
10/19/2018,40.3929,40.41,0.04%,Premium
10/18/2018,40.3277,40.325,-0.01%,Discount
10/17/2018,40.2832,40.325,0.10%,Premium
10/16/2018,40.3842,40.37,-0.04%,Discount
10/15/2018,40.2913,40.345,0.13%,Premium
10/12/2018,40.3458,40.375,0.07%,Premium
10/11/2018,40.3716,40.4,0.07%,Premium
10/10/2018,40.8239,40.795,-0.07%,Discount
10/09/2018,40.9126,40.915,0.01%,Premium
10/08/2018,40.9318,40.9,-0.08%,Discount
10/05/2018,40.8988,40.915,0.04%,Premium
10/04/2018,40.9275,40.945,0.04%,Premium
10/03/2018,40.9646,40.94,-0.06%,Discount
10/02/2018,40.8215,40.845,0.06%,Premium
10/01/2018,40.8747,40.905,0.07%,Premium
09/28/2018,40.726,40.765,0.10%,Premium
09/27/2018,40.7035,40.735,0.08%,Premium
09/26/2018,40.5454,40.58,0.09%,Premium
09/25/2018,40.5495,40.555,0.01%,Premium
