,symbol,issuer,homepage
0,QAI,IndexIQ,http://www.indexiq.com/etfs/etfsiqh/etfsiqhmultistrat.html
1,MNA,IndexIQ,http://www.indexiq.com/etfs/etfsiqh/iq-merger-arbitrage-etf.html
2,WTMF,WisdomTree,https://www.wisdomtree.com/etfs/alternative/wtmf
3,FTLS,First Trust,http://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=FTLS
4,DYLS,WisdomTree,http://www.wisdomtree.com/etfs/fund-details-alternative.aspx?etfid=124
5,RLY,State Street SPDR,https://www.spdrs.com/product/fund.seam?ticker=RLY
6,DIVY,Reality Shares,http://www.realityshares.com/funds/divy/
7,CPI,IndexIQ,http://www.indexiq.com/etfs/real-return-inflation-hedge/iq-real-return-etf.html
8,HTUS,Exchange Traded Concepts,http://www.hulltacticalfunds.com/fund-summary.aspx
9,BTAL,AGFiQ Asset Management,http://www.quant-shares.com/etf-list/anti-beta-etf-btal/
10,HDG,ProShares,http://proshares.com/funds/hdg.html
11,VAMO,Cambria,http://www.cambriafunds.com/vamo.aspx
12,QMN,IndexIQ,http://www.indexiq.com/etfs/etfsiqh/iq-hedge-market-neutral-tracker-etf.html
13,FLAG,Exchange Traded Concepts,http://www.flagetf.com/
14,FMF,First Trust,http://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=FMF
15,RALS,ProShares,http://proshares.com/funds/rals.html
16,MOM,AGFiQ Asset Management,http://www.quant-shares.com/etf-list/momentum-etf-mom/
17,ALTS,ProShares,http://www.proshares.com/funds/alts.html
18,MCRO,IndexIQ,http://www.indexiq.com/etfs/etfsiqh/etfsiqhmacro.html
19,QLS,IndexIQ,http://www.indexiq.com/etfs/etfsiqh/iq-hedge-longshort-etf.html
20,MRGR,ProShares,http://www.proshares.com/funds/mrgr.html
21,DIVA,AGFiQ Asset Management,http://www.quant-shares.com/etf-list/hedged-dividend-income-etf-diva/
22,QED,IndexIQ,http://www.indexiq.com/etfs/etfsiqh/etfsiqheventdriven.html
23,SIZ,AGFiQ Asset Management,http://www.quant-shares.com/etf-list/size-etf-siz/
24,CHEP,AGFiQ Asset Management,http://www.quant-shares.com/etf-list/value-etf-chep/
25,SVXY,ProShares,http://proshares.com/funds/svxy.html
26,TVIX,Credit Suisse,http://www.velocitysharesetns.com/tvix
27,UVXY,ProShares,http://proshares.com/funds/uvxy.html
28,VIXY,ProShares,http://proshares.com/funds/vixy.html
29,ZIV,Credit Suisse,http://www.velocitysharesetns.com/ziv
30,VIXM,ProShares,http://proshares.com/funds/vixm.html
31,VIIX,Credit Suisse,http://www.velocitysharesetns.com/viix
32,XVZ,Barclays Capital,http://www.ipathetn.com/us/product/XVZ/
