,台泥,亞泥,統一,台塑,南亞,台化,遠東新,中鋼,正新,和泰車,光寶科,聯電,台達電,鴻海,國巨,台積電,華碩,廣達,研華,南亞科
台泥,2,2,1,0,2,2,1,1,1,0,0,2,1,1,1,2,1,1,0,2
亞泥,2,3,1,1,3,3,2,2,1,0,0,3,1,2,2,3,2,1,0,3
統一,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1
台塑,0,1,0,2,2,1,1,2,0,0,1,2,0,1,2,2,2,1,0,2
南亞,2,3,1,2,5,4,3,4,2,0,2,5,1,2,3,5,4,2,1,5
台化,2,3,1,1,4,4,3,3,2,0,1,4,1,2,2,4,3,1,1,4
遠東新,1,2,1,1,3,3,3,3,2,0,1,3,0,2,2,3,2,0,1,3
中鋼,1,2,1,2,4,3,3,4,2,0,2,4,0,2,3,4,3,1,1,4
正新,1,1,1,0,2,2,2,2,2,0,1,2,0,1,1,2,1,0,1,2
和泰車,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
光寶科,0,0,0,1,2,1,1,2,1,0,2,2,0,0,1,2,2,1,1,2
聯電,2,3,1,2,5,4,3,4,2,0,2,5,1,2,3,5,4,2,1,5
台達電,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1
鴻海,1,2,1,1,2,2,2,2,1,0,0,2,0,2,2,2,1,0,0,2
國巨,1,2,1,2,3,2,2,3,1,0,1,3,0,2,3,3,2,1,0,3
台積電,2,3,1,2,5,4,3,4,2,0,2,5,1,2,3,5,4,2,1,5
華碩,1,2,0,2,4,3,2,3,1,0,2,4,1,1,2,4,4,2,1,4
廣達,1,1,0,1,2,1,0,1,0,0,1,2,1,0,1,2,2,2,0,2
研華,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1
南亞科,2,3,1,2,5,4,3,4,2,0,2,5,1,2,3,5,4,2,1,5
