,Adj Close
0,21.35
1,21.620001000000002
2,21.620001000000002
3,21.620001000000002
4,21.620001000000002
5,21.620001000000002
6,21.620001000000002
7,21.620001000000002
8,21.620001000000002
9,20.07
10,20.07
11,20.57
12,20.57
13,20.57
14,20.870001000000002
15,20.870001000000002
16,20.870001000000002
17,20.870001000000002
18,20.870001000000002
19,20.870001000000002
20,20.870001000000002
21,20.870001000000002
22,20.870001000000002
23,20.870001000000002
24,21.07
25,20.41
26,20.559998999999998
27,20.51
28,20.51
29,20.049999
30,20.049999
31,20.049999
32,20.049999
33,20.049999
34,20.200001
35,20.200001
36,20.200001
37,20.200001
38,20.200001
39,20.610001
40,20.610001
41,20.610001
42,21.030001000000002
43,21.030001000000002
44,21.030001000000002
45,21.030001000000002
46,21.030001000000002
47,21.030001000000002
48,21.030001000000002
49,21.43
50,21.43
51,21.43
52,21.43
53,21.43
54,21.43
55,21.43
56,21.43
57,21.43
58,21.43
59,21.43
60,21.43
61,21.43
62,21.43
63,21.43
64,21.43
65,21.43
66,21.43
67,21.43
68,21.43
69,21.43
70,21.43
71,21.43
72,21.43
73,21.43
74,21.43
75,21.43
76,21.43
77,21.43
78,21.43
79,21.43
80,21.43
81,21.43
82,21.43
83,21.43
84,21.43
85,21.43
86,21.43
87,21.43
88,21.43
89,21.43
90,21.34
91,20.85
92,20.959999
93,20.93
94,20.93
95,20.93
96,21.190001000000002
97,21.030001000000002
98,21.25
99,21.18
100,21.25
101,21.32
102,21.299999
103,21.469998999999998
104,21.42
105,21.67
106,21.77
107,21.780001000000002
108,21.719998999999998
109,21.790001
110,21.77
111,21.629998999999998
112,21.18
113,21.299999
114,21.530001000000002
115,21.219998999999998
116,21.35
117,21.5
118,21.299999
119,21.52
120,21.52
121,21.52
122,21.25
123,21.190001000000002
124,21.190001000000002
125,21.1
126,21.379998999999998
127,21.219998999999998
128,21.219998999999998
129,21.219998999999998
130,21.219998999999998
131,21.219998999999998
132,21.219998999999998
133,21.219998999999998
134,21.219998999999998
135,21.219998999999998
136,21.219998999999998
137,21.299999
138,21.299999
139,21.370001000000002
140,21.370001000000002
141,21.370001000000002
142,21.459999
143,21.690001000000002
144,21.540001
145,21.540001
146,21.540001
147,21.450001
148,21.450001
149,21.450001
150,21.450001
151,21.450001
152,21.48
153,21.48
154,21.48
155,21.48
156,21.48
157,21.73
158,21.73
159,21.73
160,21.73
161,21.73
162,21.73
163,21.6
164,21.6
165,21.6
166,21.6
167,21.6
168,21.6
169,21.6
170,21.6
171,21.6
172,21.6
173,21.6
174,21.6
175,21.6
176,21.6
177,21.6
178,21.6
179,21.6
180,21.6
181,21.6
182,21.6
183,21.6
184,21.6
185,21.6
186,21.6
187,21.6
188,21.6
189,21.6
190,21.6
191,21.6
192,21.6
193,21.6
194,21.6
195,21.6
196,21.6
197,21.6
198,21.6
199,21.6
200,21.6
201,21.6
202,21.6
203,21.6
204,21.6
205,21.6
206,21.6
207,21.6
208,21.6
209,21.6
210,21.6
211,21.07
212,21.07
213,21.07
214,21.07
215,21.07
216,20.700001
217,20.700001
218,20.700001
219,20.700001
220,20.51
221,21.01
222,21.59
223,21.75
224,21.75
225,21.700001
226,21.959999
227,22.0
228,22.09
229,22.09
230,22.09
231,22.049999
232,21.75
233,22.049999
234,22.049999
235,21.9
236,22.18
237,22.030001000000002
238,22.030001000000002
239,22.030001000000002
240,22.030001000000002
241,22.030001000000002
242,22.030001000000002
243,22.030001000000002
244,22.139999
245,22.24
246,22.01
247,21.969998999999998
248,21.969998999999998
249,21.969998999999998
250,21.969998999999998
251,21.969998999999998
252,21.969998999999998
253,21.969998999999998
254,21.969998999999998
255,21.940001000000002
256,21.940001000000002
257,21.940001000000002
258,21.940001000000002
259,21.940001000000002
260,21.940001000000002
261,21.940001000000002
262,21.940001000000002
263,21.940001000000002
264,21.940001000000002
265,21.940001000000002
266,21.940001000000002
267,21.940001000000002
268,21.940001000000002
269,21.940001000000002
270,21.940001000000002
271,21.940001000000002
272,21.940001000000002
273,21.940001000000002
274,21.940001000000002
275,21.940001000000002
276,21.940001000000002
277,21.940001000000002
278,21.940001000000002
279,21.940001000000002
280,22.030001000000002
281,22.030001000000002
282,22.030001000000002
283,21.83
284,21.82
285,21.82
286,21.700001
287,21.700001
288,21.700001
289,21.700001
290,21.700001
291,21.75
292,21.709999
293,21.450001
294,21.360001
295,21.360001
296,21.23
297,21.18
298,21.41
299,21.41
300,21.41
301,21.41
302,21.41
303,21.18
304,21.09
305,21.08
306,21.01
307,20.870001000000002
308,20.870001000000002
309,21.299999
310,20.950001
311,20.950001
312,21.17
313,21.17
314,21.17
315,21.17
316,21.17
317,21.17
318,21.17
319,21.17
320,21.17
321,21.17
322,21.17
323,21.17
324,21.120001000000002
325,21.139999
326,21.26
327,21.26
328,21.209999
329,21.209999
330,21.209999
331,21.209999
332,21.209999
333,21.209999
334,21.120001000000002
335,21.200001
336,21.15
337,21.15
338,21.030001000000002
339,21.09
340,21.09
341,21.09
342,21.09
343,21.09
344,21.09
345,21.09
346,20.780001000000002
347,20.700001
348,20.700001
349,20.77
350,20.77
351,20.77
352,20.77
353,20.77
354,20.77
355,20.77
356,20.77
357,20.48
358,20.459999
359,20.389999
360,20.440001000000002
361,20.440001000000002
362,20.440001000000002
363,20.440001000000002
364,20.440001000000002
365,20.440001000000002
366,20.440001000000002
367,20.440001000000002
368,20.440001000000002
