,Adj Close
0,15650.0
1,17625.0
2,16525.0
3,17500.0
4,21325.0
5,23500.0
6,21950.0
7,19875.0
8,23850.0
9,21975.0
10,26450.0
11,26450.0
12,27725.0
13,27550.0
14,22900.0
15,25175.0
16,22775.0
17,24625.0
18,23000.0
19,21125.0
20,20600.0
21,23300.0
22,22750.0
23,23200.0
24,25075.0
25,27425.0
26,27950.0
27,28350.0
28,31850.0
29,29175.0
30,26550.0
31,24425.0
32,24325.0
33,23075.0
34,20450.0
35,22525.0
36,22225.0
37,20775.0
38,21275.0
39,21925.0
40,18400.0
41,17575.0
42,16525.0
43,16900.0
44,16950.0
45,18125.0
46,17675.0
47,17125.0
48,15625.0
49,15150.0
50,15450.0
51,14500.0
52,13700.0
53,13625.0
54,12450.0
55,12025.0
56,13100.0
57,13025.0
58,12700.0
59,11500.0
60,10875.0
61,10975.0
62,10475.0
63,10900.0
64,12000.0
65,10650.0
66,12400.0
67,11775.0
68,12150.0
69,11375.0
70,10400.0
71,10325.0
72,9975.0
73,8750.0
74,8875.0
75,8950.0
76,9300.0
77,8850.0
78,9025.0
79,8675.0
80,8075.0
81,9050.0
82,9575.0
83,8500.0
84,9175.0
85,9425.0
86,9375.0
87,8625.0
88,8200.0
89,7425.0
90,7875.0
91,7650.0
92,8175.0
93,7475.0
94,8075.0
95,8025.0
96,8075.0
97,7550.0
98,7575.0
99,6900.0
100,6650.0
101,6475.0
102,6100.0
103,6050.0
104,5975.0
105,5700.0
106,5600.0
107,5450.0
108,5475.0
109,5550.0
110,5750.0
111,6750.0
112,8700.0
113,8250.0
114,8125.0
115,7725.0
116,7750.0
117,6675.0
118,6750.0
119,7200.0
120,5875.0
121,8275.0
122,8100.0
123,6400.0
124,5700.0
125,5450.0
126,5125.0
127,5175.0
128,4875.0
129,4725.0
130,4150.0
131,4125.0
132,3975.0
133,3800.0
134,3775.0
135,3800.0
136,3600.0
137,3550.0
138,3375.0
139,3575.0
140,3400.0
141,3325.0
142,3325.0
143,3125.0
144,2975.0
145,2775.0
146,2725.0
147,2900.0
148,2775.0
149,2625.0
150,2425.0
151,2300.0
152,2229.0
153,2333.0
154,2310.0
155,2268.0
156,2192.0
157,2346.0
158,2223.0
159,2149.0
160,2166.0
161,2183.0
162,2173.0
163,2264.0
164,2269.0
165,2282.0
166,2188.0
167,2156.0
168,2177.0
169,2157.0
170,2004.0
171,1895.0
172,1847.0
173,1862.0
174,2457.0
175,2117.0
176,2693.0
177,2680.0
178,2473.0
179,2409.0
180,2283.0
181,2251.0
182,1899.0
183,1778.0
184,1805.0
185,1999.0
186,1794.0
187,1749.0
188,1964.0
189,1815.0
190,1798.0
191,1789.0
192,1760.0
193,1733.0
194,1735.0
195,1656.0
196,1835.0
197,1844.0
198,1956.0
199,1915.0
200,1897.0
201,1745.0
202,1668.0
203,1624.0
204,1558.0
205,1446.0
206,1471.0
207,1541.0
208,1596.0
209,1729.0
210,1803.0
211,1908.0
212,1994.0
213,2217.0
214,2220.0
215,1652.0
216,1550.0
217,1470.0
218,1534.0
219,1476.0
220,1462.0
221,1335.0
222,1350.0
223,1271.0
224,1257.0
225,1143.0
226,1164.0
227,1165.0
228,1153.0
229,1173.0
230,1158.0
231,1151.0
232,1243.0
233,1245.0
234,1083.0
235,1007.0
236,1012.0
237,1015.0
238,996.0
239,1012.0
240,1028.0
241,1020.0
242,992.0
243,966.0
244,899.0
245,865.0
246,837.0
247,865.0
248,855.0
249,830.0
250,888.0
251,915.0
252,952.0
253,817.0
254,732.0
255,727.0
256,708.0
257,705.0
258,692.0
259,665.0
260,665.0
261,667.0
262,664.0
263,657.0
264,672.0
265,621.0
266,610.0
267,552.0
268,526.0
269,532.0
270,521.0
271,549.0
272,544.0
273,524.0
274,533.0
275,510.0
276,511.0
277,517.0
278,513.0
279,492.0
280,476.0
281,445.0
282,407.0
283,432.0
284,436.0
285,440.0
286,450.0
287,454.0
288,478.0
289,467.0
290,460.0
291,485.0
292,464.0
293,466.0
294,440.0
295,423.0
296,422.0
297,428.0
298,424.0
299,413.0
300,395.0
301,409.0
302,378.0
303,362.799988
304,353.5
305,354.100006
306,380.700012
307,384.899994
308,411.0
309,395.600006
310,379.399994
311,339.0
312,336.200012
313,338.399994
314,350.799988
315,353.899994
316,344.799988
317,367.399994
318,354.0
319,379.200012
320,406.799988
321,443.5
322,448.0
323,464.89999400000005
324,418.399994
325,410.0
326,431.0
327,408.799988
328,412.100006
329,324.200012
