,Adj Close
0,14175.0
1,15980.0
2,15065.0
3,15965.0
4,19420.0
5,21410.0
6,19950.0
7,18085.0
8,21730.0
9,20030.0
10,24075.0
11,24180.0
12,25320.0
13,25170.0
14,20930.0
15,22970.0
16,20785.0
17,22510.0
18,21005.0
19,19235.0
20,18770.0
21,21215.0
22,20780.0
23,21150.0
24,22800.0
25,25030.0
26,25425.0
27,25890.0
28,29020.0
29,26630.0
30,24180.0
31,22300.0
32,22135.0
33,20975.0
34,18615.0
35,20475.0
36,20200.0
37,18810.0
38,19305.0
39,19870.0
40,16475.0
41,15845.0
42,14790.0
43,15125.0
44,15190.0
45,16335.0
46,15920.0
47,15330.0
48,13810.0
49,13350.0
50,13695.0
51,12715.0
52,11945.0
53,11750.0
54,11075.0
55,10780.0
56,11790.0
57,11665.0
58,11365.0
59,10055.0
60,9555.0
61,9665.0
62,9110.0
63,9585.0
64,10685.0
65,9340.0
66,11035.0
67,10460.0
68,10785.0
69,10040.0
70,9030.0
71,8965.0
72,8720.0
73,7615.0
74,7795.0
75,7880.0
76,8175.0
77,7755.0
78,7945.0
79,7620.0
80,7140.0
81,7985.0
82,8510.0
83,7525.0
84,8180.0
85,8395.0
86,8380.0
87,7635.0
88,7270.0
89,6565.0
90,6990.0
91,6815.0
92,7315.0
93,6650.0
94,7245.0
95,7190.0
96,7260.0
97,6750.0
98,6680.0
99,6100.0
100,5870.0
101,5745.0
102,5425.0
103,5425.0
104,5335.0
105,5050.0
106,4995.0
107,4870.0
108,4895.0
109,4925.0
110,5115.0
111,6045.0
112,7850.0
113,7505.0
114,7365.0
115,6970.0
116,6960.0
117,5975.0
118,6035.0
119,6460.0
120,5200.0
121,7475.0
122,7360.0
123,5715.0
124,5045.0
125,4715.0
126,4425.0
127,4580.0
128,4345.0
129,4160.0
130,3660.0
131,3665.0
132,3500.0
133,3390.0
134,3370.0
135,3345.0
136,3220.0
137,3205.0
138,3040.0
139,3205.0
140,3050.0
141,3020.0
142,2963.0
143,2825.0
144,2724.0
145,2535.0
146,2443.0
147,2631.0
148,2504.0
149,2367.0
150,2203.0
151,2104.0
152,2035.0
153,2132.0
154,2110.0
155,2070.0
156,2004.0
157,2145.0
158,2031.0
159,1961.0
160,1975.0
161,1991.0
162,1981.0
163,2067.0
164,2067.0
165,2083.0
166,1999.0
167,1965.0
168,1985.0
169,1963.0
170,1827.0
171,1730.0
172,1680.0
173,1693.0
174,2242.0
175,1940.0
176,2463.0
177,2450.0
178,2263.0
179,2208.0
180,2093.0
181,2059.0
182,1740.0
183,1620.0
184,1649.0
185,1828.0
186,1638.0
187,1603.0
188,1800.0
189,1665.0
190,1645.0
191,1639.0
192,1614.0
193,1583.0
194,1589.0
195,1519.0
196,1682.0
197,1691.0
198,1797.0
199,1758.0
200,1741.0
201,1602.0
202,1526.0
203,1485.0
204,1423.0
205,1323.0
206,1345.0
207,1413.0
208,1464.0
209,1588.0
210,1659.0
211,1757.0
212,1832.0
213,2038.0
214,2039.0
215,1530.0
216,1427.0
217,1355.0
218,1418.0
219,1354.0
220,1342.0
221,1230.0
222,1239.0
223,1161.0
224,1152.0
225,1050.0
226,1066.0
227,1069.0
228,1057.0
