,Adj Close
0,135.649994
1,144.399994
2,139.649994
3,143.949997
4,159.399994
5,167.800003
6,162.649994
7,154.75
8,170.199997
9,164.25
10,180.399994
11,180.199997
12,185.149994
13,184.100006
14,168.949997
15,177.199997
16,168.850006
17,175.75
18,169.899994
19,162.800003
20,160.899994
21,171.649994
22,169.850006
23,171.600006
24,178.0
25,186.75
26,188.449997
27,190.149994
28,201.75
29,192.899994
30,183.949997
31,176.800003
32,176.25
33,171.800003
34,161.850006
35,170.149994
36,168.899994
37,163.0
38,165.449997
39,168.050003
40,153.5
41,150.649994
42,145.649994
43,147.5
44,147.899994
45,153.25
46,151.399994
47,148.649994
48,141.199997
49,138.949997
50,140.800003
51,135.699997
52,131.600006
53,130.699997
54,127.199997
55,125.300003
56,131.149994
57,130.600006
58,128.699997
59,121.300003
60,118.449997
61,119.099998
62,115.650002
63,118.550003
64,125.449997
65,117.400002
66,128.100006
67,124.849998
68,126.699997
69,122.5
70,116.150002
71,115.800003
72,114.400002
73,107.099998
74,108.400002
75,108.800003
76,110.900002
77,108.050003
78,109.349998
79,107.0
80,103.75
81,110.0
82,113.650002
83,106.849998
84,111.599998
85,113.150002
86,112.800003
87,107.699997
88,105.300003
89,100.099998
90,103.800003
91,102.300003
92,106.050003
93,101.150002
94,105.650002
95,105.400002
96,105.900002
97,101.949997
98,101.349998
99,97.25
100,95.5
101,94.400002
102,91.849998
103,91.800003
104,90.949997
105,88.349998
106,87.949997
107,86.949997
108,87.050003
109,87.449997
110,89.050003
111,97.150002
112,111.849998
113,109.449997
114,108.050003
115,105.349998
116,105.150002
117,97.699997
118,98.5
119,101.800003
120,91.949997
121,113.800003
122,113.800003
123,101.75
124,96.199997
125,93.150002
126,90.400002
127,92.0
128,89.900002
129,88.199997
130,82.400002
131,82.5
132,80.550003
133,79.449997
134,79.150002
135,78.849998
136,77.150002
137,77.25
138,75.099998
139,77.599998
140,75.449997
141,75.0
142,74.449997
143,72.550003
144,71.449997
145,68.800003
146,67.650002
147,70.349998
148,68.599998
149,66.550003
150,64.25
151,63.0
152,61.799999
153,63.349998
154,63.049999
155,62.450001
156,61.349998
157,63.450001
158,61.799999
159,60.75
160,61.0
161,61.25
162,61.150002
163,62.450001
164,62.5
165,62.650002
166,61.400002
167,60.900002
168,61.299999
169,60.950001
170,58.799999
171,57.200001
172,56.349998
173,56.549999
174,65.800003
175,61.400002
176,69.449997
177,69.199997
178,66.449997
179,65.699997
180,63.900002
181,63.549999
182,58.549999
183,56.75
184,57.099998
185,60.200001
186,56.950001
187,56.400002
188,59.900002
189,57.450001
190,57.200001
191,57.099998
192,56.650002
193,56.099998
194,56.200001
195,54.950001
196,58.0
197,58.099998
198,59.75
199,59.200001
200,58.900002
201,56.5
202,55.25
203,54.650002
204,53.400002
205,51.400002
206,52.0
207,53.25
208,54.200001
209,56.5
210,57.75
211,59.400002
212,60.700001
213,64.0
214,64.150002
215,56.099998
216,54.349998
217,53.049999
218,54.299999
219,53.099998
220,52.849998
221,50.549999
222,50.950001
223,49.349998
224,49.150002
225,47.0
226,47.299999
227,47.299999
228,47.049999
229,47.400002
230,47.150002
231,47.150002
232,48.900002
233,48.900002
234,45.75
235,44.099998
236,44.349998
237,44.349998
238,43.950001
239,44.299999
240,44.700001
241,44.549999
242,43.900002
243,43.25
244,41.799999
245,41.0
246,40.400002
247,41.0
248,40.849998
249,40.25
250,41.599998
251,42.25
252,43.099998
253,40.0
254,38.0
255,37.849998
256,37.349998
257,37.25
258,37.0
259,36.200001
260,36.200001
261,36.299999
262,36.099998
263,36.0
264,36.349998
265,34.950001
266,34.599998
267,33.049999
268,32.25
269,32.450001
270,32.049999
271,33.0
272,32.849998
273,32.299999
274,32.5
275,31.85
276,31.85
277,32.049999
278,31.9
279,31.299999
280,30.75
281,29.799999
282,28.5
283,29.450001
284,29.6
285,29.700001
286,30.0
287,30.15
288,30.950001
289,30.549999
290,30.35
291,31.15
292,30.5
293,30.549999
294,29.65
295,29.1
296,29.1
297,29.299999
298,29.15
299,28.75
300,28.200001
301,28.6
302,27.6
303,27.030001000000002
304,26.719998999999998
305,26.67
306,27.75
307,27.91
308,28.860001
309,28.299999
310,27.73
311,26.25
312,26.110001
313,26.200001
314,26.67
315,26.809998999999998
316,26.459999
317,27.34
318,26.860001
319,27.799999
320,28.83
321,30.15
322,30.24
323,30.85
324,29.309998999999998
325,29.1
326,29.77
327,29.01
328,29.09
329,26.01
330,25.360001
331,25.6
332,25.34
333,25.370001000000002
334,24.370001000000002
335,24.43
336,24.9
337,24.309998999999998
338,24.450001
339,23.82
340,23.790001
341,23.83
342,23.790001
343,23.76
344,23.280001000000002
345,23.02
346,27.15
347,26.57
348,24.719998999999998
349,23.620001000000002
350,23.57
351,22.940001000000002
352,23.15
353,22.790001
354,22.65
355,22.799999
356,22.26
357,22.32
358,22.42
359,22.92
360,22.68
361,22.18
362,22.459999
363,22.75
364,21.959999
365,21.85
366,22.139999
367,21.92
368,21.23
369,21.809998999999998
370,21.620001000000002
371,21.41
372,21.18
373,20.719998999999998
374,21.42
375,20.799999
376,21.879998999999998
377,21.559998999999998
378,21.84
379,21.82
380,22.879998999999998
381,22.120001000000002
382,21.59
383,21.5
384,20.91
385,20.65
386,20.27
387,19.76
388,19.530001000000002
389,19.32
390,19.129998999999998
391,18.950001
392,18.620001000000002
393,18.690001000000002
394,18.73
395,18.889999
396,19.09
397,18.93
398,18.68
399,18.77
400,19.02
401,18.940001000000002
402,18.709999
403,19.25
404,19.74
405,22.440001000000002
406,23.1
407,20.1
408,19.969998999999998
409,19.889999
410,23.17
411,22.440001000000002
412,21.57
413,19.99
414,20.18
415,20.719998999999998
416,20.110001
417,19.99
418,20.209999
419,20.1
420,19.559998999999998
421,19.52
422,20.59
423,20.110001
424,20.030001000000002
425,20.48
426,19.34
427,18.84
428,18.190001000000002
429,18.43
430,18.1
431,17.309998999999998
432,17.309998999999998
433,17.34
434,17.309998999999998
435,17.41
436,17.440001000000002
437,17.23
438,17.09
439,16.870001000000002
440,16.540001
441,16.190001000000002
442,16.17
443,16.200001
444,15.67
445,15.67
446,15.98
447,15.64
448,15.32
449,15.2
450,14.94
451,14.66
452,14.71
453,14.65
454,14.55
455,14.28
456,14.75
457,14.9
458,15.36
459,15.31
460,14.48
461,14.57
462,14.34
463,14.39
464,14.24
465,14.2
466,14.07
467,14.16
468,14.16
469,14.37
470,14.71
471,14.76
472,14.87
473,15.44
474,14.78
475,14.56
476,14.1
477,13.54
478,13.42
479,13.38
480,13.35
481,13.18
482,13.47
483,13.48
484,13.88
485,13.77
486,13.71
487,13.69
488,13.25
489,12.82
490,12.38
491,12.41
492,12.37
493,12.31
494,11.91
495,11.72
496,11.78
497,11.73
498,11.67
499,11.72
500,11.73
501,11.78
502,11.59
503,11.78
504,11.38
505,11.13
506,11.11
507,11.11
508,10.97
509,11.09
510,10.99
511,10.92
512,10.92
513,11.59
514,11.34
515,11.38
516,11.33
517,11.11
518,11.27
519,11.56
520,11.75
521,11.69
522,12.55
523,12.91
524,12.64
525,12.26
526,13.89
527,18.620001000000002
528,18.17
529,18.85
530,23.35
531,21.139999
532,20.23
533,20.219998999999998
534,17.940001000000002
535,17.540001
536,17.77
537,18.58
538,18.799999
539,18.530001000000002
540,17.08
541,16.379998999999998
542,17.889999
543,18.74
544,20.049999
545,19.17
546,18.33
547,18.450001
548,18.25
549,17.58
550,16.16
551,16.84
552,17.15
553,17.58
554,16.99
555,16.719998999999998
556,18.290001
557,17.9
558,17.67
559,19.98
560,21.16
561,19.5
562,21.09
563,21.52
564,20.0
565,21.9
566,20.959999
567,20.58
568,19.860001
569,21.049999
570,21.1
571,20.530001000000002
572,20.709999
573,19.83
574,19.139999
575,18.15
576,17.059998999999998
577,17.129998999999998
578,17.370001000000002
579,17.92
580,17.700001
581,18.65
582,18.809998999999998
583,17.879998999999998
584,17.51
585,17.540001
586,17.25
587,17.17
588,17.51
589,16.98
590,16.860001
591,16.809998999999998
592,16.110001
593,15.41
594,15.15
595,14.66
596,15.68
597,15.13
598,14.75
599,14.93
600,14.46
601,14.63
602,14.36
603,14.3
604,14.44
605,16.24
606,15.46
607,15.6
608,14.96
609,14.34
610,14.19
611,13.64
612,13.85
613,13.77
614,13.57
615,13.52
616,13.68
617,13.23
618,13.37
619,13.2
620,13.84
621,13.55
622,14.43
623,14.07
624,16.110001
625,15.41
626,16.26
627,16.059998999999998
628,15.62
629,15.66
630,15.83
631,15.25
632,14.46
633,13.7
634,13.46
635,13.9
636,13.41
637,13.27
638,13.19
639,13.04
640,12.92
641,13.18
642,13.22
643,13.17
644,12.92
645,12.88
646,12.91
647,13.27
648,13.65
649,13.26
650,13.13
651,13.0
652,12.82
653,12.35
654,12.08
655,11.89
656,12.04
657,12.64
658,13.4
659,12.73
660,13.51
661,12.78
662,12.46
663,12.2
664,12.41
665,12.33
666,12.24
667,12.17
668,12.21
669,12.22
670,12.2
671,12.47
672,12.27
673,12.33
674,12.45
675,12.81
676,13.06
677,12.69
678,12.3
679,12.13
680,11.8
681,11.54
682,11.89
683,11.86
684,11.46
685,11.27
686,11.26
687,11.27
688,11.39
689,11.52
690,11.26
691,11.31
692,11.14
693,11.15
694,11.06
695,11.74
696,11.98
697,12.09
698,12.33
699,14.39
700,15.62
701,14.39
702,14.58
703,13.57
704,13.71
705,14.62
706,14.48
707,14.59
708,15.15
709,16.549999
710,16.0
711,16.889999
712,17.02
713,16.389999
714,15.88
715,15.36
716,15.46
717,15.35
718,14.85
719,13.77
720,13.66
721,14.05
722,15.23
723,15.34
724,15.76
725,15.57
726,14.85
727,15.71
728,16.620001000000002
729,16.26
730,16.34
731,15.45
732,15.14
733,14.7
734,14.99
735,14.6
736,13.75
737,15.57
738,15.88
739,17.030001000000002
740,16.93
