,Adj Close
0,266.600006
1,284.0
2,274.200012
3,283.200012
4,313.600006
5,329.799988
6,319.399994
7,303.799988
8,335.200012
9,322.600006
10,354.799988
11,354.600006
12,364.0
13,362.399994
14,332.0
15,347.799988
16,331.600006
17,345.399994
18,334.200012
19,319.799988
20,315.799988
21,336.799988
22,333.0
23,336.200012
24,349.600006
25,366.399994
26,369.600006
27,372.200012
28,395.200012
29,378.799988
30,361.200012
31,346.600006
32,345.799988
33,336.799988
34,317.799988
35,334.0
36,331.600006
37,319.799988
38,324.799988
39,329.200012
40,301.0
41,295.399994
42,286.0
43,289.200012
44,290.0
45,301.0
46,297.0
47,291.200012
48,277.0
49,272.200012
50,276.200012
51,266.399994
52,258.0
53,256.0
54,248.80000299999998
55,245.19999700000002
56,257.200012
57,255.80000299999998
58,252.19999700000002
59,237.399994
60,231.80000299999998
61,233.600006
62,226.399994
63,232.80000299999998
64,245.80000299999998
65,229.600006
66,250.80000299999998
67,244.600006
68,248.0
69,239.600006
70,228.0
71,227.0
72,224.0
73,210.0
74,212.0
75,213.19999700000002
76,217.19999700000002
77,211.600006
78,214.0
79,209.600006
80,203.399994
81,215.19999700000002
82,222.0
83,209.0
84,218.399994
85,221.19999700000002
86,221.19999700000002
87,211.19999700000002
88,206.600006
89,196.399994
90,203.199997
91,200.399994
92,207.600006
93,198.0
94,206.800003
95,206.199997
96,207.199997
97,199.800003
98,198.600006
99,190.199997
100,186.800003
101,184.800003
102,179.800003
103,179.600006
104,177.600006
105,173.199997
106,172.199997
107,170.199997
108,170.399994
109,171.600006
110,174.600006
111,190.399994
112,218.80000299999998
113,214.0
114,211.600006
115,206.199997
116,206.199997
117,191.600006
118,192.800003
119,199.600006
120,179.600006
121,222.80000299999998
122,222.600006
123,200.0
124,189.399994
125,183.199997
126,177.800003
127,181.0
128,176.600006
129,173.399994
130,162.0
131,162.199997
132,158.399994
133,156.199997
134,155.600006
135,155.199997
136,152.399994
137,152.0
138,147.800003
139,152.199997
140,148.399994
141,147.399994
142,146.080002
143,142.759995
144,140.080002
145,135.199997
146,132.880005
147,138.240005
148,134.759995
149,130.83999599999999
150,126.519997
151,123.639999
152,121.639999
153,124.559998
154,123.959999
155,122.639999
156,120.720001
157,124.839996
158,121.720001
159,119.519997
160,120.040001
161,120.480003
162,120.160004
163,122.760002
164,123.0
165,123.360001
166,120.720001
167,119.879997
168,120.400002
169,119.800003
170,115.519997
171,112.639999
172,111.0
173,111.360001
174,129.440002
175,120.559998
176,136.880005
177,136.03999299999998
178,130.880005
179,129.240005
180,126.040001
181,125.040001
182,115.239998
183,111.559998
184,112.360001
185,118.559998
186,112.199997
187,111.0
188,117.91999799999999
189,113.32
190,112.599998
191,112.360001
192,111.480003
193,110.440002
194,110.68
195,108.160004
196,114.120003
197,114.32
198,117.91999799999999
199,116.599998
200,116.120003
201,111.440002
202,108.760002
203,107.400002
204,105.08000200000001
205,101.480003
206,102.360001
207,104.91999799999999
208,106.879997
209,111.360001
210,113.68
211,117.0
212,119.639999
213,126.239998
214,126.360001
215,110.480003
216,107.160004
217,104.639999
218,107.160004
219,104.720001
220,104.279999
221,99.839996
222,100.32
223,97.32
224,96.800003
225,92.480003
226,93.120003
227,93.199997
228,92.760002
229,93.480003
230,92.839996
231,92.959999
232,96.559998
233,96.599998
234,90.199997
235,87.08000200000001
236,87.400002
237,87.519997
238,86.68
239,87.239998
240,88.08000200000001
241,87.760002
242,86.559998
243,85.360001
244,82.400002
245,80.91999799999999
246,79.599998
247,80.800003
248,80.559998
249,79.279999
250,82.040001
251,83.440002
252,85.040001
253,78.959999
254,74.959999
255,74.639999
256,73.720001
257,73.480003
258,73.0
259,71.440002
260,71.480003
261,71.599998
262,71.279999
263,71.0
264,71.800003
265,69.0
266,68.400002
267,65.199997
268,63.599998
269,64.040001
270,63.32
271,65.08000200000001
272,64.720001
273,63.639998999999996
274,64.160004
275,62.759997999999996
276,62.880001
277,63.279999
278,63.0
279,61.720001
280,60.639998999999996
281,58.759997999999996
282,56.240002000000004
283,58.16
284,58.439999
285,58.599998
286,59.16
287,59.52
288,61.040001000000004
289,60.32
290,60.0
291,61.439999
292,60.200001
293,60.279999
294,58.439999
295,57.400002
296,57.400002
297,57.84
298,57.52
299,56.720001
300,55.599998
301,56.599998
302,54.400002
303,53.360001000000004
304,52.759997999999996
305,52.639998999999996
306,54.759997999999996
307,55.040001000000004
308,56.919998
309,55.880001
310,54.759997999999996
311,51.759997999999996
312,51.560001
313,51.759997999999996
314,52.68
315,52.919998
316,52.279999
317,53.959998999999996
318,53.0
319,54.880001
320,56.84
321,59.439999
322,59.68
323,60.880001
324,57.84
325,57.360001000000004
326,58.639998999999996
327,57.240002000000004
328,57.400002
329,51.32
330,50.080002
331,50.48
332,50.0
333,50.040001000000004
334,48.119999
335,48.200001
336,49.16
337,48.0
338,48.200001
339,47.0
340,46.84
341,47.040001000000004
342,46.959998999999996
343,46.880001
344,45.84
345,45.439999
346,53.639998999999996
347,52.360001000000004
348,48.639998999999996
349,46.48
350,46.400002
351,45.240002000000004
352,45.599998
353,44.880001
354,44.599998
355,44.959998999999996
356,43.919998
357,43.959998999999996
358,44.200001
359,45.200001
360,44.68
361,43.720001
362,44.32
363,44.799999
364,43.279999
365,43.080002
366,43.639998999999996
367,43.16
368,41.84
369,43.0
370,42.599998
371,42.200001
372,41.759997999999996
373,40.880001
374,42.200001
375,41.0
376,43.119999
377,42.52
378,43.080002
379,43.0
380,45.119999
381,43.639998999999996
382,42.52
383,42.400002
384,41.240002000000004
385,40.799999
386,40.0
387,38.93
388,38.459998999999996
389,38.009997999999996
390,37.66
391,37.310001
392,36.650002
393,36.799999
394,36.860001000000004
395,37.16
396,37.540001000000004
397,37.279999
398,36.799999
399,37.0
400,37.470001
401,37.310001
402,36.849998
403,37.900002
404,38.889998999999996
405,44.189999
406,45.5
407,39.57
408,39.290001000000004
409,39.060001
410,45.529999
411,44.189999
412,42.439999
413,39.32
414,39.66
415,40.759997999999996
416,39.630001
417,39.279999
418,39.75
419,39.540001000000004
420,38.459998999999996
421,38.349998
422,40.439999
423,39.5
424,39.299999
425,40.259997999999996
426,38.02
427,37.0
428,35.709998999999996
429,36.189999
430,35.57
431,34.0
432,34.0
433,34.029999
434,34.029999
435,34.220001
436,34.290001000000004
437,33.869999
438,33.68
439,33.169998
440,32.529999
441,31.84
442,31.77
443,31.83
444,30.75
445,30.82
446,31.4
447,30.73
448,30.09
449,29.91
450,29.379998999999998
451,28.85
452,28.940001000000002
453,28.780001000000002
454,28.58
455,28.049999
456,28.950001
457,29.25
458,30.219998999999998
459,30.08
460,28.43
461,28.68
462,28.16
463,28.309998999999998
464,28.0
465,27.940001000000002
466,27.67
467,27.84
468,27.85
469,28.27
470,28.9
471,28.99
472,29.219998999999998
473,30.290001
474,29.059998999999998
475,28.6
476,27.700001
477,26.620001000000002
478,26.389999
479,26.27
480,26.209999
481,25.860001
482,26.450001
483,26.530001000000002
484,27.26
485,27.040001
486,26.92
487,26.91
488,26.01
489,25.190001000000002
490,24.32
491,24.379998999999998
492,24.290001
493,24.18
494,23.360001
495,23.040001
496,23.139999
497,23.07
498,22.889999
499,23.030001000000002
500,23.030001000000002
501,23.16
502,22.780001000000002
503,23.15
504,22.33
505,21.889999
506,21.82
507,21.83
508,21.549999
509,21.77
510,21.559998999999998
511,21.43
512,21.440001000000002
513,22.76
514,22.23
515,22.34
516,22.26
517,21.790001
518,22.139999
519,22.719998999999998
520,23.1
521,22.93
522,24.6
523,25.379998999999998
524,24.799999
525,24.040001
526,27.309998999999998
527,36.66
528,35.470001
529,36.869999
530,45.77
531,41.41
532,39.68
533,39.720001
534,35.080002
535,34.400002
536,34.880001
537,36.389998999999996
538,36.869999
539,36.240002000000004
540,33.490002000000004
541,32.099998
542,35.119999
543,36.689999
544,39.18
545,37.619999
546,35.869999
547,36.139998999999996
548,35.73
549,34.400002
550,31.67
551,32.990002000000004
552,33.700001
553,34.369999
554,33.310001
555,32.77
556,35.82
557,35.07
558,34.669998
559,39.189999
560,41.400002
561,38.189999
562,41.25
563,42.150002
564,39.150002
565,42.869999
566,40.98
567,40.310001
568,38.810001
569,41.240002000000004
570,41.25
571,40.209998999999996
572,40.529999
573,38.869999
574,37.439999
575,35.560001
576,33.43
577,33.549999
578,34.060001
579,35.060001
580,34.669998
581,36.490002000000004
582,36.77
583,34.970001
584,34.290001000000004
585,34.330002
586,33.830002
587,33.610001000000004
588,34.27
589,33.200001
590,32.990002000000004
591,32.889998999999996
592,31.52
593,30.110001
594,29.620001000000002
595,28.639999
596,30.67
597,29.57
598,28.809998999999998
599,29.190001000000002
600,28.27
601,28.610001
602,28.09
603,27.93
604,28.290001
605,31.709999
606,30.16
607,30.559998999999998
608,29.280001000000002
609,28.049999
610,27.74
611,26.68
612,27.07
613,26.889999
614,26.52
615,26.4
616,26.75
617,25.9
618,26.120001000000002
619,25.790001
620,27.040001
621,26.440001000000002
622,28.18
623,27.42
624,31.42
625,30.129998999999998
626,31.85
627,31.370001000000002
628,30.52
629,30.67
630,30.91
631,29.77
632,28.280001000000002
633,26.76
634,26.26
635,27.139999
636,26.190001000000002
637,25.92
638,25.75
639,25.450001
640,25.23
641,25.719998999999998
642,25.809998999999998
643,25.709999
644,25.200001
645,25.120001000000002
646,25.190001000000002
647,25.889999
648,26.620001000000002
649,25.879998999999998
650,25.65
651,25.379998999999998
652,24.99
653,24.01
654,23.549999
655,23.200001
656,23.52
657,24.67
658,26.16
659,24.809998999999998
660,26.370001000000002
661,24.950001
662,24.299999
663,23.83
664,24.34
665,24.040001
666,23.860001
667,23.74
668,23.82
